Time (s);    ;car_position;   ;input;    ;command;   ;obstacles
2.996;    ;1;228;48;1;88;45;    ;300;200;    ;0;0;    
3.012;    ;1;228;48;1;88;45;    ;1;500;53;    ;1;150;122;    
3.050;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;1;499;53;    ;1;150;106;    
3.087;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;499;53;1;500;133;    ;0;150;104;1;78;106;    
3.118;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;499;53;1;500;133;    ;0;150;89;1;94;115;    
3.155;    ;1;228;48;1;88;45;    ;0;498;53;1;500;133;    ;0;140;89;1;89;115;    
3.188;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;498;53;1;500;133;    ;1;91;115;    
3.219;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;498;55;1;500;134;    ;0;143;88;1;94;115;    
3.253;    ;1;228;48;1;88;45;    ;0;497;55;1;500;136;    ;0;150;88;1;96;115;    
3.289;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;497;55;1;500;136;    ;1;98;115;    
3.319;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;497;53;1;500;133;    ;0;150;88;1;100;115;    
3.357;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;496;53;1;500;131;    ;0;150;88;1;102;115;    
3.390;    ;1;228;48;1;88;45;    ;0;496;53;1;500;133;    ;0;150;88;1;105;115;    
3.426;    ;1;228;48;1;88;45;    ;0;496;53;1;500;133;    ;1;107;115;    
3.466;    ;0;56;44;1;93;46;1;228;48;1;88;45;    ;0;496;53;1;500;133;    ;1;109;115;    
3.486;    ;1;228;48;1;88;45;    ;0;495;53;1;500;133;    ;0;150;88;1;112;115;    
3.516;    ;1;228;48;0;88;46;    ;0;495;53;1;500;133;    ;1;113;115;    
3.555;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;495;53;1;500;133;    ;1;115;114;    
3.587;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;495;53;1;500;133;    ;0;150;87;1;118;115;    
3.619;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;494;53;1;500;131;    ;0;150;87;1;120;115;    
3.656;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;494;53;1;500;133;    ;0;150;87;1;122;115;    
3.688;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;493;53;1;500;133;    ;0;150;87;1;124;115;    
3.719;    ;0;56;44;2;94;46;1;228;48;1;88;45;    ;0;493;53;1;500;133;    ;0;150;89;1;126;115;    
3.756;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;492;53;1;500;133;    ;0;150;89;1;128;115;    
3.788;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;492;55;1;500;136;    ;0;150;88;1;131;115;    
3.820;    ;0;56;44;0;94;47;1;228;48;1;88;45;    ;0;491;55;1;500;136;    ;0;150;87;1;133;115;    
3.856;    ;1;228;48;1;88;45;    ;0;491;53;1;500;131;    ;0;150;87;1;135;115;    
3.888;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;491;53;1;500;131;    ;1;137;115;    
3.920;    ;0;56;44;1;94;46;1;228;48;1;88;45;    ;0;490;53;1;500;133;    ;0;150;88;1;139;115;    
3.956;    ;1;228;48;1;88;45;    ;0;490;53;1;500;131;    ;0;150;88;1;141;115;    
