Time (s);    ;car_position;   ;input;    ;command;   ;treadmill;     ;obstacles;
13.363;    ;0;626;68;11;0;0;    ;300;200;    ;    ;320;177;90;32;117;200;285;    ;
13.403;    ;0;619;68;1;0;0;    ;300;200;    ;0;0;115;    ;320;177;90;32;117;200;285;    ;
13.429;    ;0;611;66;2;0;0;    ;300;200;    ;0;0;107;    ;320;177;90;32;117;200;285;    ;
13.467;    ;0;603;65;8;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.502;    ;0;595;63;1;0;0;    ;300;200;    ;0;0;115;    ;320;177;90;32;117;200;285;    ;
13.529;    ;0;588;63;3;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.562;    ;0;581;62;-1;0;0;    ;300;200;    ;0;0;110;    ;320;177;90;32;117;200;285;    ;
13.595;    ;0;576;61;1;0;0;    ;300;200;    ;0;0;106;    ;320;177;90;32;117;200;285;    ;
13.636;    ;0;571;61;1;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.665;    ;0;568;60;-7;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.700;    ;0;564;60;-2;0;0;    ;300;200;    ;0;0;100;    ;320;177;90;32;117;200;285;    ;
13.735;    ;0;561;60;4;0;0;    ;300;200;    ;0;0;105;    ;320;177;90;32;117;200;285;    ;
13.765;    ;0;558;60;1;0;0;    ;300;200;    ;0;0;111;    ;320;177;90;32;117;200;285;    ;
13.801;    ;0;556;59;1;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.832;    ;0;554;60;2;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.867;    ;0;553;59;3;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;32;117;200;285;    ;
13.900;    ;0;552;59;1;0;0;    ;300;200;    ;0;0;110;    ;320;177;90;32;117;200;285;    ;
13.933;    ;0;553;59;2;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;32;117;200;285;    ;
13.966;    ;0;553;59;2;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;32;117;200;285;    ;
14.003;    ;0;553;59;3;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;32;117;200;285;    ;
14.035;    ;0;554;59;3;0;0;    ;300;200;    ;0;0;110;    ;320;177;90;32;117;200;285;    ;
14.066;    ;0;554;59;2;0;0;    ;300;200;    ;0;0;110;    ;320;177;90;32;117;200;285;    ;
14.100;    ;0;554;59;2;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;32;117;200;285;    ;
14.128;    ;0;554;59;2;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;32;117;200;285;    ;
14.162;    ;0;554;59;2;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;32;117;200;285;    ;
14.201;    ;0;554;59;1;0;0;    ;300;200;    ;0;0;109;    ;320;177;90;33;117;200;285;    ;
14.235;    ;0;554;59;1;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;33;117;200;285;    ;
14.265;    ;0;553;59;1;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;33;117;200;285;    ;
14.303;    ;0;554;59;1;0;0;1;625;160;13;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;33;117;200;285;    ;
14.334;    ;0;553;59;1;0;0;1;619;160;14;0;0;    ;300;200;    ;0;0;108;1;0;136;    ;320;177;90;33;116;200;285;    ;
14.362;    ;0;553;59;1;0;0;1;611;160;-2;0;0;    ;300;200;    ;0;0;108;1;0;126;    ;320;177;90;33;116;200;285;    ;
14.401;    ;0;554;59;1;0;0;    ;300;200;    ;0;0;108;1;0;110;    ;320;177;90;33;116;200;285;    ;
14.433;    ;0;554;59;1;0;0;1;593;160;-1;0;0;    ;300;200;    ;0;0;108;    ;320;177;90;33;116;200;285;    ;
14.466;    ;0;554;59;1;0;0;1;584;159;-1;0;0;    ;300;200;    ;0;0;108;1;0;111;    ;320;177;90;33;116;200;285;    ;
14.502;    ;0;553;59;1;0;0;1;577;159;75;0;0;    ;300;200;    ;0;0;108;1;0;112;    ;320;177;90;33;116;200;285;    ;
14.529;    ;0;553;60;1;0;0;1;570;159;-5;0;0;    ;300;200;    ;0;0;108;1;0;136;    ;320;177;90;33;116;200;285;    ;
14.566;    ;0;553;59;2;0;0;1;566;159;-9;0;0;    ;300;200;    ;0;0;108;1;0;108;    ;320;177;90;33;116;200;285;    ;
14.601;    ;1;562;160;0;0;0;    ;300;200;    ;0;0;109;1;0;105;    ;320;177;90;33;116;200;285;    ;
14.630;    ;1;561;160;3;0;0;    ;300;200;    ;1;0;112;    ;320;177;90;33;116;200;285;    ;
14.665;    ;1;561;160;-5;0;0;    ;300;200;    ;1;0;115;    ;320;177;90;33;117;200;285;    ;
14.702;    ;1;562;160;-4;0;0;    ;300;200;    ;1;0;107;    ;320;177;90;33;117;200;285;    ;
14.735;    ;0;553;59;1;0;0;1;562;160;5;0;0;    ;300;200;    ;1;0;108;    ;320;177;90;33;117;200;285;    ;
14.766;    ;0;553;59;3;0;0;1;563;159;75;0;0;    ;300;200;    ;0;0;108;1;0;117;    ;320;177;90;33;117;200;285;    ;
14.803;    ;0;553;59;3;0;0;1;562;159;78;0;0;    ;300;200;    ;0;0;110;1;0;136;    ;320;177;90;33;117;200;285;    ;
14.835;    ;0;553;59;3;0;0;1;562;160;8;0;0;    ;300;200;    ;0;0;110;1;0;136;    ;320;177;90;33;117;200;285;    ;
14.868;    ;0;553;59;2;0;0;1;562;160;3;0;0;    ;300;200;    ;0;0;110;1;0;120;    ;320;177;90;33;117;200;285;    ;
14.906;    ;0;553;59;2;0;0;1;562;160;4;0;0;    ;300;200;    ;0;0;109;1;0;115;    ;320;177;90;33;117;200;285;    ;
14.937;    ;0;554;59;2;0;0;1;562;159;1;0;0;    ;300;200;    ;0;0;109;1;0;116;    ;320;177;90;32;117;200;285;    ;
14.964;    ;0;553;59;3;0;0;1;562;159;1;0;0;    ;300;200;    ;0;0;109;1;0;114;    ;320;177;90;32;117;200;285;    ;
15.006;    ;0;554;59;2;0;0;1;562;160;8;0;0;    ;300;200;    ;0;0;110;1;0;114;    ;320;177;90;32;117;200;285;    ;
15.035;    ;0;554;59;2;0;0;1;562;160;4;0;0;    ;300;200;    ;0;0;109;1;0;120;    ;320;177;90;32;117;200;285;    ;
15.067;    ;0;554;59;2;0;0;1;562;160;5;0;0;    ;300;200;    ;0;0;109;1;0;116;    ;320;177;90;32;117;200;285;    ;
